#
# * Generated by profiles_gen on Wed Nov 14 16:29:07 PST 2012
#
#           INPUT FILE : D3D_iterdb_kinefit_128913.01500
#          SHOT NUMBER : 128913
#    RADIAL GRIDPOINTS :  51
#               Q_EDGE :  1.03E+01
#
#                 IONS :  d c
# 
#         SIGN(PSI_POL): +
# 
# * An associated input.profiles.geo was also generated
#
#             NFOURIER :      8
#            GATO NPSI :    101
#          GATO NTHETA :    201
#            EFIT HEADER ... 
#
#   EFIT?   05/12/98      #128913  1500             3  65  65          
#
# Psi-shrinkage factor : -1.00E-04
# * Additional information:
#
#      MERGED CER FILE : dplasma_cer_format.128913.1500
#  PLASMA MAJOR RADIUS : 1.66E+00 m
#  PLASMA MINOR RADIUS : 5.99E-01 m
#
# 
N_EXP=51
BT_EXP=+2.0657000E+00
ARHO_EXP=7.7241000E-01
# 
#rho(-)          rmin(m)         rmaj(m)         q(-)            kappa(-)        
 1.0982720E+00   4.7903767E-01   7.4040255E-01   7.8149438E-02  -2.7551815E-03
 1.1652712E+00   5.2365756E-01   7.8021618E-01   8.4094454E-02  -3.1149480E-03
 1.2303491E+00   5.6993679E-01   8.1803333E-01   8.9913634E-02  -3.4872964E-03
 1.2932104E+00   6.1761017E-01   8.5373388E-01   9.5562331E-02  -3.8764181E-03
 1.3536201E+00   6.6633168E-01   8.8724085E-01   1.0099507E-01  -4.2846732E-03
 1.4114046E+00   7.1568927E-01   9.1850038E-01   1.0615888E-01  -4.6986011E-03
 1.4666621E+00   7.6536088E-01   9.4755323E-01   1.1100542E-01  -5.1539084E-03
 1.5194548E+00   8.1495982E-01   9.7440385E-01   1.1546997E-01  -5.6309033E-03
 1.5698659E+00   8.6421151E-01   9.9909307E-01   1.1948336E-01  -6.1248782E-03
 1.6179844E+00   9.1293306E-01   1.0216531E+00   1.2296683E-01  -6.6387515E-03
 1.6638942E+00   9.6096374E-01   1.0420794E+00   1.2582753E-01  -7.1540910E-03
 1.7077815E+00   1.0082122E+00   1.0603815E+00   1.2796274E-01  -7.6739208E-03
 1.7496959E+00   1.0545200E+00   1.0764888E+00   1.2924448E-01  -8.2007180E-03
 1.7896381E+00   1.0998165E+00   1.0903046E+00   1.2952788E-01  -8.7290039E-03
 1.8275484E+00   1.1440314E+00   1.1016996E+00   1.2865060E-01  -9.3463085E-03
 1.8633039E+00   1.1870701E+00   1.1105072E+00   1.2643018E-01  -9.9542470E-03
 1.8968103E+00   1.2289521E+00   1.1165497E+00   1.2265410E-01  -1.0548414E-02
 1.9278834E+00   1.2696679E+00   1.1196070E+00   1.1708483E-01  -1.1123207E-02
 1.9563878E+00   1.3093186E+00   1.1194421E+00   1.0944987E-01  -1.1648255E-02
 1.9822238E+00   1.3481203E+00   1.1157924E+00   9.9438771E-02  -1.2262262E-02
 2.0053320E+00   1.3864163E+00   1.1083631E+00   8.6698661E-02  -1.2865467E-02
 2.0256866E+00   1.4246538E+00   1.0968273E+00   7.0838719E-02  -1.3366743E-02
 2.0433462E+00   1.4634900E+00   1.0807808E+00   5.1383460E-02  -1.3802076E-02
 2.0583761E+00   1.5036501E+00   1.0597698E+00   2.7828502E-02  -1.4339966E-02
 2.0709097E+00   1.5460585E+00   1.0332248E+00  -4.2731888E-04  -1.4617000E-02
 2.0811630E+00   1.5920252E+00   1.0003111E+00  -3.4216406E-02  -1.5108524E-02
 2.0894490E+00   1.6435363E+00   9.5968404E-01  -7.4828727E-02  -1.5301081E-02
 2.0962246E+00   1.7040189E+00   9.0902840E-01  -1.2442242E-01  -1.5853026E-02
 2.1019725E+00   1.7789810E+00   8.4540038E-01  -1.8563480E-01  -1.6755464E-02
 2.1073089E+00   1.8792776E+00   7.6571715E-01  -2.6135035E-01  -1.9755273E-02
 2.1123367E+00   2.0180716E+00   6.6661502E-01  -3.5476877E-01  -3.5605167E-02
# 
#flow_beam(kW/eV)flow_wall(kW/eV)zmag(m)         ptot(Pa)        polflux(Wb/rad) 
 0.0000000E+00   0.0000000E+00   3.1694023E-02   0.0000000E+00   0.0000000E+00
 1.8661401E-05   2.9584525E-05   3.1685049E-02   0.0000000E+00   1.7998198E-04
 7.4723592E-05   1.1796217E-04   3.1670515E-02   0.0000000E+00   7.0992894E-04
 1.6749895E-04   2.6420314E-04   3.1685576E-02   0.0000000E+00   1.5898409E-03
 2.9536915E-04   4.6676766E-04   3.1718613E-02   0.0000000E+00   2.8097188E-03
 4.5620261E-04   7.2335992E-04   3.1759729E-02   0.0000000E+00   4.3495646E-03
 6.4731477E-04   1.0313043E-03   3.1805549E-02   0.0000000E+00   6.2093785E-03
 8.6576456E-04   1.3876853E-03   3.1860612E-02   0.0000000E+00   8.3791613E-03
 1.1084842E-03   1.7892170E-03   3.1926148E-02   0.0000000E+00   1.0838915E-02
 1.3724165E-03   2.2323340E-03   3.1997749E-02   0.0000000E+00   1.3598639E-02
 1.6552218E-03   2.7143798E-03   3.2075719E-02   0.0000000E+00   1.6648334E-02
 1.9543357E-03   3.2319889E-03   3.2161113E-02   0.0000000E+00   1.9997998E-02
 2.2676424E-03   3.7822400E-03   3.2252265E-02   0.0000000E+00   2.3637634E-02
 2.5932545E-03   4.3624393E-03   3.2347744E-02   0.0000000E+00   2.7567241E-02
 2.9292945E-03   4.9697454E-03   3.2448045E-02   0.0000000E+00   3.1796817E-02
 3.2747207E-03   5.6027340E-03   3.2553486E-02   0.0000000E+00   3.6316365E-02
 3.6278400E-03   6.2589981E-03   3.2662368E-02   0.0000000E+00   4.1125883E-02
 3.9870557E-03   6.9366837E-03   3.2775214E-02   0.0000000E+00   4.6205375E-02
 4.3505583E-03   7.6340272E-03   3.2893897E-02   0.0000000E+00   5.1554839E-02
 4.7161531E-03   8.3488443E-03   3.3017501E-02   0.0000000E+00   5.7154279E-02
 5.0823733E-03   9.0803666E-03   3.3145909E-02   0.0000000E+00   6.2993694E-02
 5.4474095E-03   9.8265683E-03   3.3279768E-02   0.0000000E+00   6.9053088E-02
 5.8117335E-03   1.0586378E-02   3.3420281E-02   0.0000000E+00   7.5322460E-02
 6.1751950E-03   1.1359428E-02   3.3568983E-02   0.0000000E+00   8.1771815E-02
 6.5358807E-03   1.2145999E-02   3.3726975E-02   0.0000000E+00   8.8381153E-02
 6.8919930E-03   1.2946429E-02   3.3894966E-02   0.0000000E+00   9.5140477E-02
 7.2400384E-03   1.3763294E-02   3.4074681E-02   0.0000000E+00   1.0201979E-01
 7.5762262E-03   1.4598375E-02   3.4268529E-02   0.0000000E+00   1.0899909E-01
 7.9000236E-03   1.5454683E-02   3.4478582E-02   0.0000000E+00   1.1604838E-01
 8.2114971E-03   1.6336017E-02   3.4706821E-02   0.0000000E+00   1.2313767E-01
 8.5106755E-03   1.7246487E-02   3.4956580E-02   0.0000000E+00   1.3024696E-01
 8.7982071E-03   1.8193017E-02   3.5231792E-02   0.0000000E+00   1.3735625E-01
 9.0739493E-03   1.9182006E-02   3.5536690E-02   0.0000000E+00   1.4444554E-01
 9.3376089E-03   2.0222085E-02   3.5876266E-02   0.0000000E+00   1.5148484E-01
 9.5885799E-03   2.1323872E-02   3.6257126E-02   0.0000000E+00   1.5846414E-01
 9.8257823E-03   2.2499723E-02   3.6685942E-02   0.0000000E+00   1.6535345E-01
 1.0048323E-02   2.3767925E-02   3.7171800E-02   0.0000000E+00   1.7213277E-01
 1.0254703E-02   2.5149534E-02   3.7726222E-02   0.0000000E+00   1.7879210E-01
 1.0443611E-02   2.6673119E-02   3.8363084E-02   0.0000000E+00   1.8531145E-01
 1.0613885E-02   2.8377079E-02   3.9099776E-02   0.0000000E+00   1.9167081E-01
 1.0764630E-02   3.0314440E-02   3.9959235E-02   0.0000000E+00   1.9786019E-01
 1.0895291E-02   3.2557762E-02   4.0970751E-02   0.0000000E+00   2.0385959E-01
 1.1005988E-02   3.5216325E-02   4.2169102E-02   0.0000000E+00   2.0963902E-01
 1.1096934E-02   3.8446277E-02   4.3609040E-02   0.0000000E+00   2.1520846E-01
 1.1168916E-02   4.2484819E-02   4.5352707E-02   0.0000000E+00   2.2053792E-01
 1.1223470E-02   4.7692736E-02   4.7497485E-02   0.0000000E+00   2.2562742E-01
 1.1262893E-02   5.4621596E-02   5.0170838E-02   0.0000000E+00   2.3043693E-01
 1.1290048E-02   6.4159433E-02   5.3583770E-02   0.0000000E+00   2.3496648E-01
 1.1307237E-02   7.7548922E-02   5.8082315E-02   0.0000000E+00   2.3919606E-01
 1.1316607E-02   9.5540223E-02   6.4492491E-02   0.0000000E+00   2.4314166E-01
 1.1319174E-02   1.1630912E-01   7.2413983E-02   0.0000000E+00   2.4576940E-01
# 
#ni_1(10^19/m^3) ni_2(10^19/m^3) ni_3(10^19/m^3) ni_4(10^19/m^3) ni_5(10^19/m^3) 
 2.6675000E+00   2.5989000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 2.6642000E+00   2.5985000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 2.6517000E+00   2.5972000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 2.6414000E+00   2.5948000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 2.6291000E+00   2.5915000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 2.6154000E+00   2.5872000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 2.5992000E+00   2.5819000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 2.5800000E+00   2.5756000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 2.5574000E+00   2.5683000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 2.5311000E+00   2.5599000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 2.5009000E+00   2.5505000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 2.4668000E+00   2.5400000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 2.4288000E+00   2.5284000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 2.3872000E+00   2.5157000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 2.3425000E+00   2.5019000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 2.2955000E+00   2.4869000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 2.2467000E+00   2.4708000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 2.1971000E+00   2.4535000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 2.1474000E+00   2.4350000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 2.0985000E+00   2.4153000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 2.0508000E+00   2.3944000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 2.0050000E+00   2.3723000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
 1.9616000E+00   2.3489000E-02   0.0000000E+00   0.0000000E+00   0.0000000E+00
